frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
0,0.0,0.07758498546481132,0.09379549679160118,0.08120419439673424,0.07753338274359703,0.05638201907277107,0.07949556410312653,0.05638201907277107,0.05638201907277107,0.07949556410312653,0.0,0.0
1,0.033350000000000005,0.07969020661711693,0.09542948362231254,0.08363323268294334,0.07955450174212456,0.059894952923059464,0.08139871060848236,0.059894952923059464,0.059894952923059464,0.08139871060848236,0.0007772906683385372,0.0042412918992340565
2,0.06670000000000001,0.08336419221758842,0.09872833248972893,0.08703825232386589,0.08336419221758842,0.06267663836479187,0.0835467278957367,0.06267663836479187,0.06267663836479187,0.0835467278957367,0.0019466063240543008,0.01139629166573286
3,0.10005000000000001,0.08421808835864067,0.09850091096758842,0.08677725848555565,0.08388306555151939,0.06223272159695625,0.08341474831104279,0.06223272159695625,0.06223272159695625,0.08341474831104279,0.003354461630806327,0.01553898025304079
4,0.13340000000000002,0.08415027317404747,0.09811476227641105,0.08686863240599632,0.08391568419337272,0.06213107332587242,0.08351127803325653,0.06213107332587242,0.06213107332587242,0.08351127803325653,0.004501728806644678,0.014842789620161057
5,0.16675,0.08443346974253654,0.09806177374720573,0.08713676390051842,0.08419902977347374,0.06232616677880287,0.08373735845088959,0.06232616677880287,0.06232616677880287,0.08373735845088959,0.005731978919357061,0.0162652600556612
6,0.20010000000000003,0.08439344522356987,0.09750961121916771,0.08723694440722465,0.08429271337389946,0.06233910098671913,0.08318652212619781,0.06233910098671913,0.06233910098671913,0.08318652212619781,0.006615514867007732,0.01666097529232502
7,0.23345000000000005,0.08447000738978386,0.09735052642226219,0.08740212377905845,0.08445689436793327,0.06240345910191536,0.08284212648868561,0.06240345910191536,0.06240345910191536,0.08284212648868561,0.006978048477321863,0.01707981526851654
8,0.26680000000000004,0.0844670122563839,0.09729743358492851,0.0873889213502407,0.08442624267935753,0.06235991045832634,0.08271756768226624,0.06235991045832634,0.06235991045832634,0.08271756768226624,0.006954343058168888,0.017220506444573402
9,0.30015000000000003,0.0844471490085125,0.09732376393675804,0.08736296352744102,0.08438891527056694,0.0623401515185833,0.08276444673538208,0.0623401515185833,0.0623401515185833,0.08276444673538208,0.0068783024325966835,0.017314491793513298
10,0.3335,0.08440244552493095,0.09726554509997368,0.08732219395041466,0.08433027920126915,0.062294598668813705,0.08269867300987244,0.062294598668813705,0.062294598668813705,0.08269867300987244,0.006885755341500044,0.0173336248844862
11,0.36685000000000006,0.08441278693079948,0.09721276518702507,0.08734332379698753,0.08434404787421226,0.06230564042925835,0.08261261880397797,0.06230564042925835,0.06230564042925835,0.08261261880397797,0.006922944448888302,0.017406700178980827
12,0.40020000000000006,0.08441487309336662,0.09716445562243461,0.0873540675342083,0.08434619364142418,0.062308330088853836,0.08254367113113403,0.062308330088853836,0.062308330088853836,0.08254367113113403,0.006946696434170008,0.01746024750173092
13,0.43355000000000005,0.08440947887301445,0.09712119755148887,0.0873516386449337,0.08433410879969597,0.062303368002176285,0.08248260617256165,0.062303368002176285,0.062303368002176285,0.08248260617256165,0.006964539643377066,0.017513655126094818
14,0.4669000000000001,0.08440584298968315,0.0970755999982357,0.08735345658659935,0.08432656881213188,0.06230020895600319,0.08241894841194153,0.06230020895600319,0.06230020895600319,0.08241894841194153,0.006984077859669924,0.017564227804541588
15,0.5002500000000001,0.08440389093756676,0.09703120943903923,0.08735685405135155,0.08432124909758568,0.06229880824685097,0.08235685527324677,0.06229880824685097,0.06229880824685097,0.08235685527324677,0.007006148807704449,0.01761515624821186
16,0.5336000000000001,0.08440228161215782,0.09698801097273826,0.08736005780100822,0.08431604859232902,0.0622977651655674,0.08229608833789825,0.0622977651655674,0.0622977651655674,0.08229608833789825,0.007029056549072266,0.017665792256593704
17,0.5669500000000001,0.08440122362971306,0.0969457810819149,0.08736428973078728,0.08431202527880668,0.062297273427248,0.08223655819892883,0.062297273427248,0.062297273427248,0.08223655819892883,0.007052077911794186,0.017715945839881897
18,0.6003000000000001,0.08440107461810112,0.09690520521998405,0.0873690730035305,0.08430882152915001,0.062297698110342026,0.08217921853065491,0.062297698110342026,0.062297698110342026,0.08217921853065491,0.007074839901179075,0.01776616834104061
19,0.63365,0.08440100011229515,0.0968656277358532,0.08737404999136925,0.08430542406439781,0.06229820474982262,0.08212326467037201,0.06229820474982262,0.06229820474982262,0.08212326467037201,0.0070969220250844955,0.01781592331826687
20,0.667,0.08440024015307426,0.0968266313970089,0.08737761136889458,0.08430095371603966,0.06229807063937187,0.08206827938556671,0.06229807063937187,0.06229807063937187,0.08206827938556671,0.007119358982890844,0.017865806818008423
21,0.7003500000000001,0.08439879474043846,0.09678721782565117,0.08738030847907066,0.08429558929800987,0.06229724362492561,0.08201169967651367,0.06229724362492561,0.06229724362492561,0.08201169967651367,0.007142339833080769,0.01791629008948803
22,0.7337000000000001,0.08439886924624443,0.09674939867854118,0.08738579210639,0.08429366704821586,0.06229790672659874,0.08195796608924866,0.06229790672659874,0.06229790672659874,0.08195796608924866,0.0071654790081083775,0.017966467887163162
23,0.7670500000000001,0.08439812418818474,0.09671186265349388,0.0873906200826168,0.084290910333395,0.06229772791266441,0.08190488815307617,0.06229772791266441,0.06229772791266441,0.08190488815307617,0.007187630981206894,0.018015598878264427
24,0.8004000000000001,0.08437176403403282,0.09665167686343193,0.08737257477641105,0.08426277694106102,0.06227193400263786,0.0818319171667099,0.06227193400263786,0.06227193400263786,0.0818319171667099,0.007209338713437319,0.01806468702852726
25,0.8337500000000001,0.08189921435713768,0.09431454893946647,0.085187066167593,0.08181709405779838,0.05979478731751442,0.07970187067985535,0.05979478731751442,0.05979478731751442,0.07970187067985535,0.007230390328913927,0.018112657591700554
26,0.8671000000000001,0.07942571100592613,0.0919893419444561,0.08301291224360466,0.07936229166388512,0.05730554834008217,0.07760342955589294,0.05730554834008217,0.05730554834008217,0.07760342955589294,0.00725084962323308,0.018160119652748108
27,0.9004500000000001,0.07695383188128471,0.08967592176795006,0.08085276541113853,0.07690021750330925,0.054804231971502304,0.07553686201572418,0.054804231971502304,0.054804231971502304,0.07553686201572418,0.007271336857229471,0.018207060173153877
28,0.9338000000000002,0.07448488828539848,0.08737528678774834,0.07870816048979759,0.07443143782019615,0.052291180938482285,0.07350461184978485,0.052291180938482285,0.052291180938482285,0.07350461184978485,0.007292232941836119,0.018253961578011513
29,0.9671500000000002,0.07200776395201683,0.08508952316641807,0.07657982763648033,0.07195543107390404,0.0497669018805027,0.07151056826114655,0.0497669018805027,0.0497669018805027,0.07151056826114655,0.007313027046620846,0.018300864845514297
30,1.0005000000000002,0.06949912366271019,0.08281934615969658,0.07446916756033897,0.06947259959578514,0.047231655567884445,0.06955759227275848,0.047231655567884445,0.047231655567884445,0.06955759227275848,0.007333351764827967,0.01834735833108425
31,1.0338500000000002,0.06699271854758262,0.08056593295931816,0.07237822172045708,0.06698370334506035,0.04468695446848869,0.0676485151052475,0.04468695446848869,0.04468695446848869,0.0676485151052475,0.007353194057941437,0.01839328557252884
32,1.0672000000000001,0.0644905677139759,0.07833037135004997,0.07019509729743004,0.06448994186520576,0.042133938521146774,0.0657859742641449,0.042133938521146774,0.042133938521146774,0.0657859742641449,0.007372685242444277,0.018439041450619698
33,1.1005500000000001,0.06199426558613777,0.0761139130294323,0.06776172277331352,0.06199426558613777,0.03957425430417061,0.06397315859794617,0.03957425430417061,0.03957425430417061,0.06397315859794617,0.007391820661723614,0.018484478816390038
34,1.1339000000000001,0.0595055555999279,0.07391801831126213,0.06533412244915962,0.0595055555999279,0.037009600549936295,0.062213849276304245,0.037009600549936295,0.037009600549936295,0.062213849276304245,0.0074105700477957726,0.018529469147324562
35,1.1672500000000001,0.05702624079585075,0.07174428161978721,0.06291377153992653,0.05702624079585075,0.03444204851984978,0.06051182374358177,0.03444204851984978,0.03444204851984978,0.06051182374358177,0.007428950164467096,0.018574131652712822
36,1.2006000000000001,0.054558913975954054,0.0695935523211956,0.06050144490599632,0.054558913975954054,0.031872764229774475,0.058869730681180954,0.031872764229774475,0.031872764229774475,0.058869730681180954,0.007446836680173874,0.01861857809126377
37,1.23395,0.05210487899184227,0.06746742483973503,0.05809867736697197,0.05210487899184227,0.029316384345293045,0.05717528238892555,0.029316384345293045,0.029316384345293045,0.05717528238892555,0.007464571390300989,0.01866297237575054
38,1.2673,0.04966681805253029,0.06536795553565025,0.05570675042271614,0.04966681805253029,0.026798035949468613,0.05551217868924141,0.026798035949468613,0.026798035949468613,0.05551217868924141,0.007482005748897791,0.01870703138411045
39,1.30065,0.04724683967232704,0.06329658982157707,0.053326900869607924,0.04724683967232704,0.02432645857334137,0.0539155937731266,0.02432645857334137,0.02432645857334137,0.0539155937731266,0.007499168626964092,0.018750661984086037
