frame,time_s,overall_clearance_m,ee_clearance_m,left_finger_clearance_m,right_finger_clearance_m,target_actual_error_m,normal_speed_into_table_m_s
80,2.668,0.02928251400589943,inf,0.02928251400589943,0.043778542429208755,1.846316422415839e-06,0.0030325092375278473
81,2.7013500000000006,0.0291903056204319,inf,0.0291903056204319,0.043908316642045975,1.8842789586415165e-06,0.002764869248494506
82,2.7347000000000006,0.02910730615258217,inf,0.02910730615258217,0.04404645040631294,1.861691202975635e-06,0.002488739788532257
83,2.7680500000000006,0.02903350070118904,inf,0.02903350070118904,0.04419272020459175,1.9529618384694913e-06,0.00221305713057518
84,2.8014000000000006,0.028969425708055496,inf,0.028969425708055496,0.04434727504849434,2.022390162892407e-06,0.0019212892511859536
85,2.8347500000000005,0.028915036469697952,inf,0.028915036469697952,0.044509876519441605,1.9413596419326495e-06,0.0016308617778122425
86,2.8681000000000005,0.028870288282632828,inf,0.028870288282632828,0.044680166989564896,1.9597753180278232e-06,0.0013417748268693686
87,2.9014500000000005,0.028835806995630264,inf,0.028835806995630264,0.044858504086732864,1.8921577975561377e-06,0.0010339217260479927
88,2.9348000000000005,0.028811324387788773,inf,0.028811324387788773,0.045044396072626114,1.8702924080571393e-06,0.0007341112359426916
89,2.9681500000000005,0.028797287493944168,inf,0.028797287493944168,0.045237947255373,2.084299012494739e-06,0.0004208963946439326
90,3.0015000000000005,0.028793636709451675,inf,0.028793636709451675,0.04543882980942726,2.047914676950313e-06,0.00010946880502160639
91,3.0348500000000005,0.028800804167985916,inf,0.028800804167985916,0.04564714804291725,1.9913279629690805e-06,0.0
92,3.0682000000000005,0.028818730264902115,inf,0.028818730264902115,0.045862678438425064,2.0955742456862936e-06,0.0
93,3.1015500000000005,0.028847817331552505,inf,0.028847817331552505,0.04608551040291786,2.0781678813364124e-06,0.0
94,3.1349000000000005,0.028888080269098282,inf,0.028888080269098282,0.046315375715494156,2.048205033133854e-06,0.0
95,3.1682500000000005,0.028939370065927505,inf,0.028939370065927505,0.04655179753899574,1.8932722696263227e-06,0.0
96,3.2016000000000004,0.029002580791711807,inf,0.029002580791711807,0.04679546132683754,2.06250001610897e-06,0.0
97,3.2349500000000004,0.029077280312776566,inf,0.029077280312776566,0.04704563692212105,2.0630695871659555e-06,0.0
98,3.2683000000000004,0.02916393056511879,inf,0.02916393056511879,0.0473024882376194,1.955412244569743e-06,0.0
99,3.3016500000000004,0.02926253154873848,inf,0.02926253154873848,0.04756586626172066,2.1647592802764848e-06,0.0
100,3.3350000000000004,0.029373381286859512,inf,0.029373381286859512,0.04783560708165169,2.247091288154479e-06,0.0
101,3.3683500000000004,0.02949630096554756,inf,0.02949630096554756,0.04811136797070503,2.153231434931513e-06,0.0
102,3.4017000000000004,0.02963188663125038,inf,0.02963188663125038,0.048393506556749344,1.963599970622454e-06,0.0
103,3.4350500000000004,0.029780197888612747,inf,0.029780197888612747,0.04868178442120552,2.234889279861818e-06,0.0
104,3.4684000000000004,0.029941100627183914,inf,0.029941100627183914,0.048975784331560135,2.146025963156717e-06,0.0
105,3.5017500000000004,0.030115175992250443,inf,0.030115175992250443,0.04927583411335945,2.1615451260004193e-06,0.0
106,3.5351000000000004,0.030302274972200394,inf,0.030302274972200394,0.04958154633641243,2.2081892439018702e-06,0.0
107,3.5684500000000003,0.030502784997224808,inf,0.030502784997224808,0.049893010407686234,2.483511934769922e-06,0.0
108,3.6018000000000003,0.03071637824177742,inf,0.03071637824177742,0.050209689885377884,2.3909174160507973e-06,0.0
109,3.6351500000000003,0.03094378486275673,inf,0.03094378486275673,0.05053209140896797,2.2150736640469404e-06,0.0
110,3.6685000000000003,0.03118467703461647,inf,0.03118467703461647,0.05085949972271919,2.4593068701506127e-06,0.0
111,3.7018500000000003,0.03143977001309395,inf,0.03143977001309395,0.051192570477724075,2.3669567781325895e-06,0.0
112,3.7352000000000007,0.031708572059869766,inf,0.031708572059869766,0.05153043940663338,2.4552828108426183e-06,0.0
113,3.7685500000000007,0.031991589814424515,inf,0.031991589814424515,0.05187337473034859,2.4256080450868467e-06,0.0
114,3.8019000000000007,0.032289016991853714,inf,0.032289016991853714,0.05222143605351448,2.3333168428507634e-06,0.0
115,3.8352500000000007,0.03260057047009468,inf,0.03260057047009468,0.052574027329683304,2.4952000785560813e-06,0.0
116,3.8686000000000007,0.03292699530720711,inf,0.03292699530720711,0.05293165519833565,2.4315877453773282e-06,0.0
117,3.9019500000000007,0.0332680381834507,inf,0.0332680381834507,0.053293872624635696,2.393251861576573e-06,0.0
118,3.9353000000000007,0.03362353518605232,inf,0.03362353518605232,0.053660232573747635,2.655510343174683e-06,0.0
119,3.9686500000000007,0.03399430587887764,inf,0.03399430587887764,0.05403142049908638,2.4326579932676395e-06,0.0
120,4.002000000000001,0.03438008204102516,inf,0.03438008204102516,0.05440695956349373,2.473273752912064e-06,0.0
121,4.03535,0.034781087189912796,inf,0.034781087189912796,0.054786790162324905,2.605270765343448e-06,0.0
122,4.068700000000001,0.03519730642437935,inf,0.03519730642437935,0.055170703679323196,2.7577316359383985e-06,0.0
123,4.10205,0.035628993064165115,inf,0.035628993064165115,0.05555881932377815,2.4908524665079312e-06,0.0
124,4.135400000000001,0.0360761322081089,inf,0.0360761322081089,0.055950868874788284,2.534336545068072e-06,0.0
125,4.16875,0.036538977175951004,inf,0.036538977175951004,0.05634688213467598,2.466547357471427e-06,0.0
126,4.202100000000001,0.03701763227581978,inf,0.03701763227581978,0.05674682930111885,2.6488889943721006e-06,0.0
127,4.23545,0.03751208260655403,inf,0.03751208260655403,0.05715053156018257,2.5156055016850587e-06,0.0
128,4.268800000000001,0.03802238777279854,inf,0.03802238777279854,0.05755778029561043,2.683243565115845e-06,0.0
129,4.302150000000001,0.03854889050126076,inf,0.03854889050126076,0.057968903332948685,2.66993151853967e-06,0.0
130,4.335500000000001,0.03909151628613472,inf,0.03909151628613472,0.058383453637361526,2.8318577278696466e-06,0.0
131,4.368850000000001,0.039650339633226395,inf,0.039650339633226395,0.058801520615816116,2.775181201286614e-06,0.0
132,4.402200000000001,0.04022550955414772,inf,0.04022550955414772,0.05922301486134529,2.6832849471247755e-06,0.0
133,4.435550000000001,0.04081711545586586,inf,0.04081711545586586,0.059647876769304276,2.7947351100010565e-06,0.0
134,4.4689000000000005,0.04142524674534798,inf,0.04142524674534798,0.060076046735048294,2.758509026534739e-06,0.0
135,4.502250000000001,0.04204988852143288,inf,0.04204988852143288,0.060507435351610184,2.8407164336385904e-06,0.0
136,4.5356000000000005,0.04269120469689369,inf,0.04269120469689369,0.06094198301434517,2.889913048420567e-06,0.0
137,4.568950000000001,0.043349239975214005,inf,0.043349239975214005,0.061379749327898026,2.832827931342763e-06,0.0
138,4.6023000000000005,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,0.0
139,4.635650000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
140,4.6690000000000005,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
141,4.702350000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
142,4.7357000000000005,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
143,4.769050000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
144,4.8024000000000004,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
145,4.835750000000001,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
146,4.8691,0.043977830559015274,inf,0.043977830559015274,0.06179048493504524,0.0,-0.0
