frame,time_s,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_m
0,0.0,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
1,0.033350000000000005,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
2,0.06670000000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
3,0.10005000000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
4,0.13340000000000002,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
5,0.16675,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
6,0.20010000000000003,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
7,0.23345000000000005,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
8,0.26680000000000004,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
9,0.30015000000000003,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
10,0.3335,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
11,0.36685000000000006,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
12,0.40020000000000006,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
13,0.43355000000000005,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
14,0.4669000000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
15,0.5002500000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
16,0.5336000000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
17,0.5669500000000001,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,-0.034054070711135864,-0.22564688324928284,0.38543087244033813,0.0
