run_label,frame,time_s,phase,target_to_rope_min_xy_m,gripper_center_to_rope_min_xy_m,active_surface_to_rope_particle_xy_m,rope_particle_x,rope_particle_y,active_surface_x,active_surface_y,target_x,target_y,gripper_center_x,gripper_center_y
c12_direct_baseline,0,0.0,unknown,0.02587001956999302,0.02587001956999302,0.011593185365200043,0.023831678554415703,-0.229258731007576,0.019133195281028748,-0.23985713720321655,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,1,0.033350000000000005,unknown,0.02584652230143547,0.02584652230143547,0.011898627504706383,0.02405734732747078,-0.22901593148708344,0.01925090327858925,-0.23990057408809662,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,2,0.06670000000000001,unknown,0.02576630376279354,0.02576630376279354,0.011831213720142841,0.0241053719073534,-0.2291058897972107,0.01931919902563095,-0.2399257868528366,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,3,0.10005000000000001,unknown,0.025734489783644676,0.025734489783644676,0.011361369863152504,0.023910725489258766,-0.2295360267162323,0.019285976886749268,-0.23991352319717407,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,4,0.13340000000000002,unknown,0.025691723451018333,0.025691723451018333,0.010769727639853954,0.023480163887143135,-0.23000918328762054,0.019060980528593063,-0.23983047902584076,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,5,0.16675,unknown,0.025651803240180016,0.025651803240180016,0.010341264307498932,0.02304953522980213,-0.23030801117420197,0.018780313432216644,-0.23972690105438232,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,6,0.20010000000000003,unknown,0.025624720379710197,0.025624720379710197,0.010043148882687092,0.022758724167943,-0.23051927983760834,0.018593354150652885,-0.2396579086780548,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,7,0.23345000000000005,unknown,0.025612272322177887,0.025612272322177887,0.009782426059246063,0.022550947964191437,-0.23072130978107452,0.018475975841283798,-0.2396145910024643,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,8,0.26680000000000004,unknown,0.025608208030462265,0.025608208030462265,0.009585436433553696,0.02237820252776146,-0.2308681607246399,0.018371596932411194,-0.2395760715007782,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,9,0.30015000000000003,unknown,0.02560761198401451,0.02560761198401451,0.009464622475206852,0.022262686863541603,-0.23095472157001495,0.018297862261533737,-0.23954886198043823,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,10,0.3335,unknown,0.025612279772758484,0.025612279772758484,0.009359480813145638,0.022187121212482452,-0.23103930056095123,0.018258340656757355,-0.23953427374362946,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,11,0.36685000000000006,unknown,0.025624968111515045,0.025624968111515045,0.009307924658060074,0.022162403911352158,-0.23108536005020142,0.018250897526741028,-0.2395315170288086,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,12,0.40020000000000006,unknown,0.02564048022031784,0.02564048022031784,0.009297742508351803,0.022186843678355217,-0.23110535740852356,0.018277976661920547,-0.23954151570796967,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,13,0.43355000000000005,unknown,0.025664405897259712,0.025664405897259712,0.009389965794980526,0.022320741787552834,-0.23105628788471222,0.018378429114818573,-0.23957858979701996,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,14,0.4669000000000001,unknown,0.02570514753460884,0.02570514753460884,0.009641393087804317,0.022622181102633476,-0.2308988869190216,0.018590491265058517,-0.23965685069561005,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,15,0.5002500000000001,unknown,0.025763053447008133,0.025763053447008133,0.01009517814964056,0.023077497258782387,-0.23058204352855682,0.018885675817728043,-0.23976579308509827,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,16,0.5336000000000001,unknown,0.02582627534866333,0.02582627534866333,0.010531824082136154,0.02356097660958767,-0.23029403388500214,0.019214609637856483,-0.23988717794418335,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,17,0.5669500000000001,unknown,0.025882329791784286,0.025882329791784286,0.010865547694265842,0.023943066596984863,-0.23007863759994507,0.01947830803692341,-0.23998449742794037,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,18,0.6003000000000001,unknown,0.025927413254976273,0.025927413254976273,0.011039520613849163,0.024187961593270302,-0.22998329997062683,0.019660688936710358,-0.24005180597305298,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,19,0.63365,unknown,0.025960708037018776,0.025960708037018776,0.011050763539969921,0.024294383823871613,-0.23001070320606232,0.019761566072702408,-0.2400890439748764,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,20,0.667,unknown,0.02598012238740921,0.02598012238740921,0.01094585657119751,0.024286171421408653,-0.23011982440948486,0.019788993522524834,-0.24009916186332703,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,21,0.7003500000000001,unknown,0.02599487267434597,0.02599487267434597,0.010803846642374992,0.024212652817368507,-0.2302444726228714,0.019764430820941925,-0.24009010195732117,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,22,0.7337000000000001,unknown,0.02600926347076893,0.02600926347076893,0.010641423985362053,0.02411889284849167,-0.23038344085216522,0.01972694881260395,-0.24007625877857208,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,23,0.7670500000000001,unknown,0.02603478729724884,0.02603478729724884,0.010494551621377468,0.02407277375459671,-0.23052345216274261,0.01973116025328636,-0.24007782340049744,-0.034054070711135864,-0.22564688324928284,-0.034054070711135864,-0.22564688324928284
c12_direct_baseline,24,0.8004000000000001,unknown,0.026042558252811432,0.026043713092803955,0.010338499210774899,0.024001482874155045,-0.23066559433937073,0.01971660926938057,-0.24007433652877808,-0.03405381739139557,-0.22563335299491882,-0.03405393660068512,-0.22563514113426208
c12_direct_baseline,25,0.8337500000000001,unknown,0.025409476831555367,0.025410275906324387,0.010382021777331829,0.02396545186638832,-0.23081427812576294,0.019316503778100014,-0.2400972545146942,-0.03404881805181503,-0.22449764609336853,-0.034048713743686676,-0.22449922561645508
c12_direct_baseline,26,0.8671000000000001,unknown,0.02482668124139309,0.024827582761645317,0.010485436767339706,0.023900624364614487,-0.2309570461511612,0.018610920757055283,-0.24001041054725647,-0.03407210484147072,-0.22335441410541534,-0.034072041511535645,-0.2233562171459198
c12_direct_baseline,27,0.9004500000000001,unknown,0.024306675419211388,0.02430741675198078,0.010675471276044846,0.02384968288242817,-0.23107367753982544,0.017854047939181328,-0.2399064600467682,-0.03412352502346039,-0.2222040295600891,-0.03412337973713875,-0.22220578789710999
c12_direct_baseline,28,0.9338000000000002,unknown,0.023855771869421005,0.02385646663606167,0.010953417047858238,0.02382817491889,-0.23118329048156738,0.017046792432665825,-0.23978504538536072,-0.034202344715595245,-0.22104614973068237,-0.03420222923159599,-0.22104790806770325
c12_direct_baseline,29,0.9671500000000002,unknown,0.023475484922528267,0.023476039990782738,0.011319007724523544,0.023816745728254318,-0.2312820553779602,0.01618991419672966,-0.23964574933052063,-0.03430839255452156,-0.21988095343112946,-0.034308239817619324,-0.21988263726234436
c12_direct_baseline,30,1.0005000000000002,unknown,0.023173712193965912,0.023173928260803223,0.011774696409702301,0.023817691951990128,-0.23137472569942474,0.015284420922398567,-0.23948809504508972,-0.034441348165273666,-0.21870814263820648,-0.03444089740514755,-0.21870987117290497
