run_label,frame,time_s,phase,actual_any_finger_box_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_contact_source,target_to_any_finger_box_surface_m,target_to_left_finger_box_surface_m,target_to_right_finger_box_surface_m,tiny_minclamp_proxy_any_clearance_m,tiny_minclamp_proxy_gripper_center_clearance_m,tiny_minclamp_proxy_finger_span_clearance_m,tiny_minclamp_proxy_effective_radius_m,small_proxy_any_clearance_m,small_proxy_gripper_center_clearance_m,small_proxy_finger_span_clearance_m,small_proxy_effective_radius_m,accepted_nominal_proxy_any_clearance_m,accepted_nominal_proxy_gripper_center_clearance_m,accepted_nominal_proxy_finger_span_clearance_m,accepted_nominal_proxy_effective_radius_m,inflated_proxy_any_clearance_m,inflated_proxy_gripper_center_clearance_m,inflated_proxy_finger_span_clearance_m,inflated_proxy_effective_radius_m
c12_direct_baseline,0,0.0,unknown,0.050156500190496445,0.050156500190496445,0.07585370540618896,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09407069358229637,0.10301769524812698,0.09407069358229637,0.012,0.08807069063186646,0.09701769053936005,0.08807069358229637,0.018,0.07307069003582001,0.0820176899433136,0.07307069358229637,0.033,0.05807068943977356,0.06701768934726715,0.05807069358229637,0.048
c12_direct_baseline,1,0.033350000000000005,unknown,0.050422992557287216,0.050422992557287216,0.07582996785640717,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09434220764040947,0.10306788235902786,0.09434220764040947,0.012,0.08834220468997955,0.09706787765026093,0.08834220764040947,0.018,0.0733422040939331,0.08206787705421448,0.07334220764040947,0.033,0.05834220349788666,0.06706787645816803,0.05834220764040947,0.048
c12_direct_baseline,2,0.06670000000000001,unknown,0.05075526610016823,0.05075526610016823,0.07583661377429962,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09468347403407097,0.1031220331788063,0.09468347403407097,0.012,0.08868347108364105,0.09712202847003937,0.08868347403407097,0.018,0.0736834704875946,0.08212202787399292,0.07368347403407097,0.033,0.05868346989154816,0.06712202727794647,0.05868347403407097,0.048
c12_direct_baseline,3,0.10005000000000001,unknown,0.05085844174027443,0.05085844174027443,0.07593174278736115,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09479423436522484,0.10318241268396378,0.09479423436522484,0.012,0.08879423141479492,0.09718240797519684,0.08879423436522484,0.018,0.07379423081874847,0.08218240737915039,0.07379423436522484,0.033,0.058794230222702026,0.06718240678310394,0.05879423436522484,0.048
c12_direct_baseline,4,0.13340000000000002,unknown,0.05074482783675194,0.05074482783675194,0.07607367634773254,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09466800662875176,0.10328475385904312,0.09466800662875176,0.012,0.08866800367832184,0.09728474915027618,0.08866800662875175,0.018,0.07366800308227539,0.08228474855422974,0.07366800662875175,0.033,0.05866800248622894,0.06728474795818329,0.058668006628751754,0.048
c12_direct_baseline,5,0.16675,unknown,0.050548065453767776,0.050548065453767776,0.07616512477397919,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09444837841391564,0.10335827618837357,0.09444837841391564,0.012,0.08844837546348572,0.09735827147960663,0.08844837841391563,0.018,0.07344837486743927,0.08235827088356018,0.07344837841391563,0.033,0.05844837427139282,0.06735827028751373,0.05844837841391563,0.048
c12_direct_baseline,6,0.20010000000000003,unknown,0.0504688136279583,0.0504688136279583,0.07621292769908905,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.0943537709414959,0.1033373698592186,0.0943537709414959,0.012,0.08835376799106598,0.09733736515045166,0.0883537709414959,0.018,0.07335376739501953,0.08233736455440521,0.0733537709414959,0.033,0.058353766798973083,0.06733736395835876,0.058353770941495894,0.048
c12_direct_baseline,7,0.23345000000000005,unknown,0.05044921115040779,0.05044921115040779,0.07626800239086151,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09432545873522759,0.10331711918115616,0.09432545873522759,0.012,0.08832545578479767,0.09731711447238922,0.08832545873522758,0.018,0.07332545518875122,0.08231711387634277,0.07332545873522758,0.033,0.05832545459270477,0.06731711328029633,0.058325458735227584,0.048
c12_direct_baseline,8,0.26680000000000004,unknown,0.05042817071080208,0.05042817071080208,0.07632403075695038,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09429598423838616,0.10328885167837143,0.09429598423838616,0.012,0.08829598128795624,0.09728884696960449,0.08829598423838615,0.018,0.07329598069190979,0.08228884637355804,0.07329598423838615,0.033,0.05829598009586334,0.0672888457775116,0.05829598423838615,0.048
c12_direct_baseline,9,0.30015000000000003,unknown,0.050432998687028885,0.050432998687028885,0.07636173069477081,left_tip_box,0.042401038110256195,0.042401041835546494,0.042401038110256195,0.09429444941878319,0.10328110307455063,0.09429444941878319,0.012,0.08829444646835327,0.09728109836578369,0.08829444941878319,0.018,0.07329444587230682,0.08228109776973724,0.07329444941878319,0.033,0.058294445276260376,0.0672810971736908,0.05829444941878319,0.048
