frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
0,0.0,0.09647283661924302,0.11523327935300767,0.10541983652673662,0.09647283661924302,0.07355864346027374,0.09925585240125656,0.07355864346027374,0.07355864346027374,0.09925585240125656,0.0,0.0
1,0.033350000000000005,0.09674435067735612,0.11521943617425859,0.1054700236376375,0.09674435067735612,0.07382514327764511,0.09923211485147476,0.07382514327764511,0.07382514327764511,0.09923211485147476,4.780732706421986e-05,0.00024509374634362757
2,0.06670000000000001,0.09708561707101762,0.11520907986722886,0.10552417445741594,0.09708561707101762,0.07415740191936493,0.09923876076936722,0.07415740191936493,0.07415740191936493,0.09923876076936722,0.0001998457155423239,0.00042738637421280146
3,0.10005000000000001,0.09719637740217149,0.11526436317525804,0.10558455396257341,0.09719637740217149,0.07426059246063232,0.09933388233184814,0.07426059246063232,0.07426059246063232,0.09933388233184814,0.00039120003930293024,0.0005215274286456406
4,0.13340000000000002,0.09707014966569841,0.11537647951208055,0.10568689513765275,0.09707014966569841,0.07414695620536804,0.09947581589221954,0.07414695620536804,0.07414695620536804,0.09947581589221954,0.00048226965009234846,0.0006366471643559635
5,0.16675,0.09685052145086229,0.11546044755540788,0.1057604174669832,0.09685052145086229,0.07395020872354507,0.09956727921962738,0.07395020872354507,0.07395020872354507,0.09956727921962738,0.0004767464124597609,0.0007598020602017641
6,0.20010000000000003,0.09675591397844255,0.11551032174192369,0.10573951113782823,0.09675591397844255,0.0738709568977356,0.09961505979299545,0.0738709568977356,0.0738709568977356,0.09961505979299545,0.000481794704683125,0.0008732734713703394
7,0.23345000000000005,0.09672760177217424,0.1155541311558336,0.10571926045976579,0.09672760177217424,0.07385135442018509,0.09967014193534851,0.07385135442018509,0.07385135442018509,0.09967014193534851,0.0005062565323896706,0.0009673608001321554
8,0.26680000000000004,0.09669812727533281,0.11559902835451066,0.10569099295698106,0.09669812727533281,0.07383031398057938,0.09972617030143738,0.07383031398057938,0.07383031398057938,0.09972617030143738,0.0005129646742716432,0.0010551995364949107
9,0.30015000000000003,0.09669659245572984,0.11563131917081773,0.10568324435316026,0.09669659245572984,0.07383514195680618,0.09976387768983841,0.07383514195680618,0.07383514195680618,0.09976387768983841,0.0005192514508962631,0.0011349017731845379
