run_label,frame,time_s,phase,rope_center_z_m,rope_top_global_z_m,local_rope_top_z_m,target_z_m,gripper_center_z_m,active_box_center_z_m,active_box_bottom_z_m,active_box_top_z_m,active_surface_z_m,surface_to_local_rope_top_z_m,target_to_local_rope_top_z_m,gripper_center_to_local_rope_top_z_m
c12_direct_baseline,0,0.0,unknown,0.2379804253578186,0.2850268483161926,0.27813905477523804,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3310026526451111,0.05286359786987305,0.1072918176651001,0.1072918176651001
c12_direct_baseline,1,0.033350000000000005,unknown,0.23794911801815033,0.2849886417388916,0.2778801918029785,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100390434265137,0.05312371253967285,0.10755068063735962,0.10755068063735962
c12_direct_baseline,2,0.06670000000000001,unknown,0.2378985732793808,0.28493693470954895,0.2774672508239746,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100461959838867,0.05353736877441406,0.10796362161636353,0.10796362161636353
c12_direct_baseline,3,0.10005000000000001,unknown,0.2378668487071991,0.28490129113197327,0.2771352529525757,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33100426197052,0.053869009017944336,0.10829561948776245,0.10829561948776245
c12_direct_baseline,4,0.13340000000000002,unknown,0.23786041140556335,0.2848775088787079,0.27712351083755493,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3310019075870514,0.05387839674949646,0.1083073616027832,0.1083073616027832
c12_direct_baseline,5,0.16675,unknown,0.23787403106689453,0.28485119342803955,0.277238667011261,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.330998957157135,0.05376029014587402,0.10819220542907715,0.10819220542907715
c12_direct_baseline,6,0.20010000000000003,unknown,0.23787538707256317,0.2848277688026428,0.27725666761398315,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309970200061798,0.053740352392196655,0.10817420482635498,0.10817420482635498
c12_direct_baseline,7,0.23345000000000005,unknown,0.23787043988704681,0.28481417894363403,0.2772212624549866,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309957981109619,0.05377453565597534,0.10820960998535156,0.10820960998535156
c12_direct_baseline,8,0.26680000000000004,unknown,0.23786640167236328,0.2848054766654968,0.27720028162002563,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33099469542503357,0.053794413805007935,0.1082305908203125,0.1082305908203125
c12_direct_baseline,9,0.30015000000000003,unknown,0.23786284029483795,0.2847996950149536,0.2771644592285156,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309939205646515,0.053829461336135864,0.10826641321182251,0.10826641321182251
c12_direct_baseline,10,0.3335,unknown,0.23785433173179626,0.28479626774787903,0.27709490060806274,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.33099350333213806,0.05389860272407532,0.10833597183227539,0.10833597183227539
c12_direct_baseline,11,0.36685000000000006,unknown,0.23784445226192474,0.28479301929473877,0.27700918912887573,0.38543087244033813,0.38543087244033813,0.3407512307167053,0.3308623731136322,0.35064008831977844,0.3309934437274933,0.053984254598617554,0.1084216833114624,0.1084216833114624
